Galactic Longitude,Altitude,Azimuth,Radial Velocity (km/s),Power
6.222222222222222,15.79833984375,207.8173828125,709.1652,0.40417933
6.222222222222222,15.79833984375,207.8173828125,705.0429,0.37781787
6.222222222222222,15.79833984375,207.8173828125,698.85944,0.4292724
6.222222222222222,15.79833984375,207.8173828125,694.7372,0.35852766
6.222222222222222,15.79833984375,207.8173828125,686.49255,0.34690046
6.222222222222222,15.79833984375,207.8173828125,680.3091,0.37832022
6.222222222222222,15.79833984375,207.8173828125,672.0645,0.3568201
6.222222222222222,15.79833984375,207.8173828125,663.8199,0.36111236
6.222222222222222,15.79833984375,207.8173828125,653.5141,0.35678363
6.222222222222222,15.79833984375,207.8173828125,647.3307,0.31267595
6.222222222222222,15.79833984375,207.8173828125,643.2084,0.34025264
6.222222222222222,15.79833984375,207.8173828125,639.08606,0.34192204
6.222222222222222,15.79833984375,207.8173828125,626.7191,0.33428788
6.222222222222222,15.79833984375,207.8173828125,618.47455,0.3052013
6.222222222222222,15.79833984375,207.8173828125,604.04645,0.30054927
6.222222222222222,15.79833984375,207.8173828125,597.863,0.29047704
6.222222222222222,15.79833984375,207.8173828125,593.7407,0.28499293
6.222222222222222,15.79833984375,207.8173828125,589.6184,0.2873919
6.222222222222222,15.79833984375,207.8173828125,585.4961,0.26588225
6.222222222222222,15.79833984375,207.8173828125,577.25146,0.24275756
6.222222222222222,15.79833984375,207.8173828125,573.12915,0.23675704
6.222222222222222,15.79833984375,207.8173828125,566.9457,0.24337983
6.222222222222222,15.79833984375,207.8173828125,562.8234,0.2509663
6.222222222222222,15.79833984375,207.8173828125,558.7011,0.21927333
6.222222222222222,15.79833984375,207.8173828125,554.5788,0.21675014
6.222222222222222,15.79833984375,207.8173828125,546.3342,0.21439981
6.222222222222222,15.79833984375,207.8173828125,542.21185,0.22386599
6.222222222222222,15.79833984375,207.8173828125,536.02844,0.21783447
6.222222222222222,15.79833984375,207.8173828125,517.4781,0.20733094
6.222222222222222,15.79833984375,207.8173828125,507.1723,0.2067821
6.222222222222222,15.79833984375,207.8173828125,123.79796,0.23110557
6.222222222222222,15.79833984375,207.8173828125,117.6145,0.2573781
6.222222222222222,15.79833984375,207.8173828125,109.369896,0.20871544
6.222222222222222,15.79833984375,207.8173828125,8.373431,0.25643206
6.222222222222222,15.79833984375,207.8173828125,-26.666159,1.6726251
6.222222222222222,15.79833984375,207.8173828125,-39.033073,1.6929438
6.222222222222222,15.79833984375,207.8173828125,-972.73505,0.3426509
6.222222222222222,15.79833984375,207.8173828125,-997.46893,0.46448803
6.222222222222222,15.79833984375,207.8173828125,-1001.5912,0.29727125
6.222222222222222,15.79833984375,207.8173828125,-1009.8359,0.23727131
6.222222222222222,15.79833984375,207.8173828125,-1022.2027,0.3638382
6.222222222222222,15.79833984375,207.8173828125,-1026.3251,0.44885302
6.222222222222222,15.79833984375,207.8173828125,-1040.7532,0.681098
6.222222222222222,15.79833984375,207.8173828125,-1044.8754,0.6768074
6.222222222222222,15.79833984375,207.8173828125,-1048.9977,0.617157
6.222222222222222,15.79833984375,207.8173828125,-1053.12,0.5080347
9.333333333333334,18.61083984375,207.8173828125,925.58624,0.52969337
9.333333333333334,18.61083984375,207.8173828125,886.4243,0.26455474
9.333333333333334,18.61083984375,207.8173828125,853.44586,0.5402231
9.333333333333334,18.61083984375,207.8173828125,814.284,0.4793315
9.333333333333334,18.61083984375,207.8173828125,810.1616,0.20193267
9.333333333333334,18.61083984375,207.8173828125,806.03937,0.21829295
9.333333333333334,18.61083984375,207.8173828125,793.6725,0.21496177
9.333333333333334,18.61083984375,207.8173828125,789.5502,0.23073769
9.333333333333334,18.61083984375,207.8173828125,777.1833,0.24240732
9.333333333333334,18.61083984375,207.8173828125,770.9998,0.23853755
9.333333333333334,18.61083984375,207.8173828125,766.87744,0.2442832
9.333333333333334,18.61083984375,207.8173828125,760.6941,0.23389125
9.333333333333334,18.61083984375,207.8173828125,752.4494,0.24877024
9.333333333333334,18.61083984375,207.8173828125,746.266,0.26745486
