radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
198.705165,0.487,-2.649787,0.388,16.385,0.1,5,17.323,0.166,5,NA,NA,0,16.926,0.089,6,15.978,0.093,6,15.542,0.125,6,NA,NA,0,NA,NA,0
198.706058,1.112,-3.280871,0.922,NA,NA,0,NA,NA,0,NA,NA,0,17.83,0.166,2,16.853,0.238,2,16.497,0.24,1,NA,NA,0,NA,NA,0
198.710334,0.347,-3.147808,0.207,14.43,0.022,6,15.374,0.024,6,NA,NA,0,14.866,0.018,6,14.137,0.029,6,13.943,0.049,6,13.277,0.164,1,NA,NA,0
198.712083,0.432,-2.585037,0.204,15.009,0.035,6,16.389,0.09,6,NA,NA,0,15.758,0.05,6,14.435,0.017,6,13.621,0.184,6,13.469,0.037,2,NA,NA,0
198.712325,0.299,-3.469734,0.17,15.792,0.049,6,16.696,0.115,6,NA,NA,0,16.237,0.094,6,15.481,0.077,6,15.31,0.094,6,NA,NA,0,NA,NA,0
198.713005,0.572,-2.609211,0.312,NA,NA,0,18.12,0.235,1,NA,NA,0,17.524,0.226,1,17.081,0.237,1,NA,NA,0,NA,NA,0,NA,NA,0
198.713248,0.595,-3.429445,0.377,NA,NA,0,NA,NA,0,NA,NA,0,17.509,0.135,6,16.647,0.172,6,16.298,0.132,2,NA,NA,0,NA,NA,0
198.717906,0.732,-2.928519,0.518,16.582,0.162,6,17.272,0.169,6,NA,NA,0,16.905,0.113,6,16.384,0.106,6,15.947,0.194,3,NA,NA,0,NA,NA,0
198.717918,0.228,-3.168065,0.13,11.342,0.01,6,12.96,0.019,6,NA,NA,0,12.096,0.015,6,10.777,0.054,10,9.833,0.061,4,9.361,0.036,4,NA,NA,0
198.718699,0.545,-2.761666,0.914,NA,NA,0,NA,NA,0,NA,NA,0,18.348,0.255,1,NA,NA,0,16.258,0.26,1,NA,NA,0,NA,NA,0
